STT,Ngày đăng tin,Tên DN,Mã TP,Tiền tệ,Kỳ hạn,Ngày phát hành,Ngày đáo hạn,Kỳ hạn còn lại (ngày),Khối lượng,Mệnh giá,Loại hình trả lãi,Loại lãi suất,Phương thức thanh toán lãi,Mua lại và hoán đổi,Thị trường phát hành,Lãi suất phát hành (%/năm),Tình trạng,Văn bản đính kèm,Code công ty,Loại hình,Ngành
1,2021-03-26 00:00:00,BIMC - CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN BIM,BIMCB2023001,VNĐ,,30/12/2020,30/12/2023,,10000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,BIMC ,Công ty cổ phần,Bất động sản
2,2021-04-05 00:00:00,SCGC - CTCP Xây dựng SCG,SCGCH2023001,VNĐ,,31/12/2020,31/12/2025,,15000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,11.0,Hiệu lực,,SCGC ,Công ty cổ phần,Xây dựng
3,2021-04-13 00:00:00,DICC - Công ty TNHH Dynamic Innovation,DICCH2023001,VNĐ,,31/12/2020,31/12/2023,,10000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,DICC ,Công ty trách nhiệm hữu hạn,Lĩnh vực khác
4,2021-04-08 00:00:00,RMCC - Công ty cổ phần Roman E&C,RMCCH2023001,VNĐ,,31/12/2020,31/12/2025,,5300000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,RMCC ,Công ty trách nhiệm hữu hạn,Lĩnh vực khác
5,2021-04-07 00:00:00,TPP - CTCP Nhựa Tân Phú,TPPH2124001,VNĐ,,04/01/2021,04/01/2024,,1500,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,TPP ,Công ty cổ phần,Sản xuất
6,2021-04-08 00:00:00,VPI - CTCP Đầu tư Văn Phú - Invest,VPIB2124001,VNĐ,,04/01/2021,04/01/2024,,2300,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.3,Hiệu lực,,VPI ,Công ty cổ phần,Bất động sản
7,2021-04-05 00:00:00,APH - CTCP TẬP ĐOÀN AN PHÁT HOLDINGS,APHH2124001,VNĐ,,04/01/2021,04/01/2024,,4500,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.0,Hiệu lực,,APH ,Công ty cổ phần,Lĩnh vực khác
8,2021-07-20 00:00:00,VTPC - Công ty Cổ phần Đầu tư và Xây dựng Vạn Trường Phát,VTPCH2126001,VNĐ,,06/01/2021,06/01/2026,,20000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,VTPC ,Công ty cổ phần,Bất động sản
9,2021-08-27 00:00:00,VDS - Công ty Cổ phần Chứng khoán Rồng Việt,VDSH2122006,VNĐ,,06/01/2021,06/01/2022,,159950,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.3,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
10,2021-06-09 00:00:00,CNCC - CTCP THƯƠNG MẠI - DỊCH VỤ CÔNG NGHỆ CAO,CNCCH2124001,VNĐ,,06/01/2021,06/01/2024,,2500,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,9.6,Hiệu lực,,CNCC ,Công ty cổ phần,Lĩnh vực khác
11,2021-07-08 00:00:00,MIVC - CTCP Đầu tư MHC,MIVCH2126001,VNĐ,,07/01/2021,07/01/2026,,3000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.4,Hiệu lực,,MIVC ,Công ty cổ phần,Lĩnh vực khác
12,2021-07-15 00:00:00,ACB - Ngân hàng TMCP Á Châu,ACBH2124009,VNĐ,,07/01/2021,07/01/2024,,1500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,4.0,Hiệu lực,,ACB ,Công ty cổ phần,Tổ chức tín dụng
13,2021-07-06 00:00:00,CTG - Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,CTGL2129003,VNĐ,,07/01/2021,07/01/2029,,100,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,6.38,Hiệu lực,,CTG ,Công ty cổ phần,Tổ chức tín dụng
14,2021-11-29 00:00:00,NVL - CTCP TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA,NVLH2123011,VNĐ,,09/01/2021,09/01/2023,,10000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,10.5,Hiệu lực,,NVL ,Công ty cổ phần,Bất động sản
15,2021-09-16 00:00:00,HPLC - Công ty cổ phần Đầu tư và kinh doanh bất động sản Hải Phát,HPLCH2124001,VNĐ,,09/01/2021,09/01/2024,,4000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,HPLC ,Công ty cổ phần,Bất động sản
16,2021-09-09 00:00:00,TDP - Công ty cổ phần Thuận Đức,TDPH2124001,VNĐ,,09/01/2021,09/01/2024,,230,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.0,Hiệu lực,,TDP ,Công ty cổ phần,Sản xuất
17,2022-07-22 00:00:00,DFF - CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐUA FAT,DFFH2123001,VNĐ,,09/01/2021,03/01/2023,,1500,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.75,Hiệu lực,,DFF ,Công ty cổ phần,Xây dựng
18,2021-10-08 00:00:00,DRGC - CTCP Đầu tư và Du lịch Vạn Hương,DRGCH2124003,VNĐ,,09/01/2021,09/01/2024,,10000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.8,Hiệu lực,,DRGC ,Công ty cổ phần,Bất động sản
19,2021-11-08 00:00:00,VHAC - Công ty CP thương mại - quảng cáo - xây dựng - địa ốc Việt Hân,VHACH2128006,VNĐ,,09/01/2021,09/01/2028,,50000,10000000,Coupon,Cố định,Một lần khi đến hạn,,,10.0,Hiệu lực,,VHAC ,Công ty cổ phần,Bất động sản
20,2022-08-30 00:00:00,DVRC - Công ty TNHH Đầu tư và Bất động sản Diên Vĩ,DVRCH2124001,VNĐ,,10/01/2021,10/01/2024,,3000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,DVRC ,Công ty trách nhiệm hữu hạn,Bất động sản
21,2021-10-22 00:00:00,CC1 - TỔNG CÔNG TY XÂY DỰNG SỐ 1 - CTCP,CC1H2124001,VNĐ,,10/01/2021,10/01/2024,,10000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,CC1 ,Công ty cổ phần,Xây dựng
22,2021-10-08 00:00:00,THGC - Công ty Cổ phần Nông nghiệp Trường Hải,THGCH2126001,VNĐ,,10/01/2021,10/01/2026,,24000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,8.2,Hiệu lực,,THGC ,Công ty cổ phần,Sản xuất
23,2022-08-30 00:00:00,DVRC - Công ty TNHH Đầu tư và Bất động sản Diên Vĩ,DVRCH2125002,VNĐ,,10/01/2021,10/01/2025,,3000,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,DVRC ,Công ty trách nhiệm hữu hạn,Bất động sản
24,2021-10-13 00:00:00,SGCC - Công ty TNHH Đầu tư Sài Gòn 3 Capital,SGCCH2122001,VNĐ,,10/01/2021,10/01/2022,,2700,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,10.0,Hiệu lực,,SGCC ,Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ"
25,2021-11-02 00:00:00,F88C - Công ty cổ phần kinh doanh F88,F88CH2123010,VNĐ,,10/01/2021,04/01/2023,,1000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,F88C ,Công ty cổ phần,"Thương mại, dịch vụ"
26,2022-08-30 00:00:00,DVRC - Công ty TNHH Đầu tư và Bất động sản Diên Vĩ,DVRCH2126003,VNĐ,,10/01/2021,10/01/2026,,3860,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,DVRC ,Công ty trách nhiệm hữu hạn,Bất động sản
27,2021-11-11 00:00:00,VIFC - CT TNHH SẢN XUẤT VÀ KINH DOANH VINFAST,VIFCB2124001,VNĐ,,11/01/2021,11/01/2024,,15000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.0,Hiệu lực,,VIFC ,Công ty cổ phần,Sản xuất
28,2022-04-25 00:00:00,BTIC - CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI BÌNH TÂN,BTICH2126001,VNĐ,,11/01/2021,11/01/2026,,1300000,1000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,BTIC ,Công ty cổ phần,Bất động sản
29,2021-11-04 00:00:00,VPI - CTCP Đầu tư Văn Phú - Invest,VPIH2124003,VNĐ,,11/01/2021,11/01/2024,,690000,1000000,Coupon,Cố định,Một lần khi đến hạn,Mua lại,,5.0,Hiệu lực,,VPI ,Công ty cổ phần,Bất động sản
30,2022-01-04 00:00:00,SSGC - CTCP tập đoàn Sunshine,SSGCH2126003,VNĐ,,11/01/2021,11/01/2026,,10000000,100000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,SSGC ,Công ty cổ phần,Bất động sản
31,2021-12-06 00:00:00,VIFC - CT TNHH SẢN XUẤT VÀ KINH DOANH VINFAST,VIFCB2124002,VNĐ,,11/01/2021,11/01/2024,,35000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.0,Hiệu lực,,VIFC ,Công ty cổ phần,Sản xuất
32,2022-05-06 00:00:00,TD1C - Công ty cổ phần Điện gió Trung Nam Đắk Lắk 1,TD1CB2135007,VNĐ,,11/01/2021,29/07/2035,,20000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,TD1C ,Công ty cổ phần,Xây dựng
33,2021-11-05 00:00:00,SOLC - CÔNG TY CỔ PHẦN ĐẦU TƯ & DỊCH VỤ KHÁCH SẠN SOLEIL,SOLCH2124003,VNĐ,,11/01/2021,11/01/2024,,5000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.5,Hết hiệu lực,,SOLC ,Công ty cổ phần,Bất động sản
34,2022-03-08 00:00:00,H39C - Công ty Cổ phần Hưng Thịnh Investment,H39CH2122001,VNĐ,,12/01/2021,12/01/2022,,350000,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,H39C ,Công ty cổ phần,Bất động sản
35,2021-12-23 00:00:00,SAMC - CTCP SUNSHINE AM,SAMCH2126005,VNĐ,,12/01/2021,12/01/2026,,10000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,SAMC ,Công ty cổ phần,Bất động sản
36,2022-01-06 00:00:00,VJC - CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET,VJCH2124006,VNĐ,,12/01/2021,12/01/2024,,10000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,VJC ,Công ty cổ phần,Bất động sản
37,2021-12-09 00:00:00,C4G - Công ty Cổ phần Tập Đoàn CIENCO4,C4GB2124001,VNĐ,,12/01/2021,12/01/2024,,2500000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,C4G ,Công ty cổ phần,Xây dựng
38,2021-12-07 00:00:00,OCB - Ngân hàng TMCP Phương Đông,OCBL2124009,VNĐ,,12/01/2021,12/01/2024,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.2,Hiệu lực,,OCB ,Công ty cổ phần,Tổ chức tín dụng
39,2021-01-28 00:00:00,HAJC - Công ty cổ phần Hội An Invest,HAJCH2123001,VNĐ,,16/01/2021,16/01/2023,,5165,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,HAJC ,Công ty cổ phần,Bất động sản
40,2021-01-25 00:00:00,HAJC - Công ty cổ phần Hội An Invest,HAJH2123001,VNĐ,,16/01/2021,16/01/2023,,5165,100000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hết hiệu lực,,HAJC ,Công ty cổ phần,Bất động sản
41,2021-03-09 00:00:00,OSDC - Công ty cổ phần Outstanding Investment,OSDCH2124001,VNĐ,,25/01/2021,25/01/2024,,2000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,OSDC ,Công ty cổ phần,Lĩnh vực khác
42,2021-04-26 00:00:00,HLSC - CÔNG TY TNHH MẶT TRỜI HẠ LONG,HLSCB2124001,VNĐ,,29/01/2021,29/01/2024,,11924904,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,8.1,Hiệu lực,,HLSC ,Công ty trách nhiệm hữu hạn,Lĩnh vực khác
43,2022-07-20 00:00:00,PDR - CTCP phát triển bất động sản Phát Đạt,PDRH2123001,VNĐ,,02/02/2021,02/02/2023,,4000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,13.0,Hiệu lực,,PDR ,Công ty cổ phần,Bất động sản
44,2021-03-19 00:00:00,GKCC - CTCP Đầu tư thương mại dịch vụ Gia Khang,GKCCH2124001,VNĐ,,02/02/2021,02/02/2026,,15000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,,,11.0,Hiệu lực,,GKCC ,Công ty cổ phần,Bất động sản
45,2022-01-27 00:00:00,VTIC - CTCP ĐẦU TƯ VIỆT TÂM,VTICH2125001,VNĐ,,04/02/2021,04/02/2025,,6800000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.0,Hiệu lực,,VTIC ,Công ty cổ phần,Bất động sản
46,2021-05-04 00:00:00,HQNC - CTCP Dịch vụ Giải trí Hưng Thịnh Quy Nhơn,HQNCH2124002,VNĐ,,04/02/2021,04/02/2024,,500000,1000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,HQNC ,Công ty cổ phần,Lĩnh vực khác
