STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
1,17CC - Công ty TNHH MTV 17,"17.CO.,LTD",Công ty trách nhiệm hữu hạn,Xây dựng,40000000000,http://tcttruongson.vn/,2436864980,2438615610,"Km12+500 đường Ngọc Hồi, xã Ngũ Hiệp, H. Thanh Trì, TP. Hà Nội",,,,
2,3CIC - Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,3C INC,Công ty cổ phần,Lĩnh vực khác,50000000000,www.3c.com.vn,2437331699,2438433316,"Số 149D phố Yên Phụ, Phường Tây Hồ, Thành phố Hà Nội, Việt Nam",Đỗ Duy Hưng,,,
3,492C - Công ty TNHH MTV 492,"492 CO.,LTD",Công ty trách nhiệm hữu hạn,Xây dựng,50000000000,tcttruongson.vn,2436414295,2436414083,"Tổ 10 Vạn Phúc, phường Hà Đông, Hà Nội",Phạm Hữu Lợi; Phạm Văn Tam; Trần Hải Bắc,,,
4,AAA - Công ty cổ phần Nhựa An Phát Xanh,"An Phat Bioplastics.,JSC",Công ty cổ phần,Sản xuất,3.26434E+12,http://anphatbioplastics.com,2203755997,2203755998,"Lô CN11+CN12, cụm Công nghiệp An Đông, thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương",,,,
5,AACC - CTCP xây dựng kiến trúc AA,CONG TY AA,Công ty cổ phần,Xây dựng,6.5E+11,www.,2862875111,2862875110,"199C Nguyễn Văn Hưởng, Phường Thảo Đièn, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",,,,
6,AAS - Công ty Cổ phần Chứng khoán SmartInvest,SISC,Công ty cổ phần,Kinh doanh chứng khoán,2.3E+12,https://www.aas.com.vn/,2435739769,2435739769,"Số 220+222+224 Phố Nguyễn Lương Bằng, phường Quang trung, quận Đống Đa, Hà Nội",Ngô Thị Thùy Linh,,,
7,AAV - Công ty Cổ phần Việt Tiên Sơn Địa Ốc,"VTSRE.,HC",Công ty cổ phần,Bất động sản,3.66562E+11,viettienson.com,2206296583,2206266373,"Tòa nhà Việt Tiên Sơn, Khu dân cư phía Đông đường Yết Kiêu, phường Cộng Hòa, thành phố Chí Linh, tỉnh Hải Dương",Nguyễn Thanh Hải; Phạm Quang Khánh,,,
8,ABAC - CTCP giải pháp thương mại ABA,ABA CORP,Công ty cổ phần,Lĩnh vực khác,1.52177E+11,www.aba.com.vn,2873028882,2873028882,"Lầu 4, 51 Trần Phú, Phường 04, Quận 5 - TP. Hồ Chí Minh",,,,
9,ABB - Ngân hàng TMCP An Bình (ABBANK),ABBANK,Công ty cổ phần,Tổ chức tín dụng,1.39721E+13,http://www.abbank.vn,2437612888,2435190416,"Tầng 1, 2, 3 Tòa nhà Geleximco, Số 36 Hoàng Cầu, Phường Ô Chợ Dừa, Thành phố Hà Nội, Việt Nam",Lê Mạnh Hùng; Phạm Duy Hiếu,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),A-,22/10/2025
10,ABGC - CÔNG TY CỔ PHẦN ABG HÀ NỘI,"ABG HA NOI.,JSC",Công ty cổ phần,Bất động sản,39000000000,Không có,969237595,969237595,"Số 6 ngõ 250/39/45 Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",,,,
11,ABSC - Công ty Cổ phần Chứng khoán An Bình,ABSC,Công ty cổ phần,Kinh doanh chứng khoán,1011500000,https://www.abs.vn/,2435624626,2435624628,"Tầng 16, Tòa nhà Geleximco, 36 Hoàng Cầu, Quận Đống Đa, TP.Hà Nội",Nhâm Hà Hải; Nhâm Hà Hải; Trương Ngọc Lân,,,
12,ACB - Ngân hàng TMCP Á Châu,Ngân hàng Á Châu (ACB),Công ty cổ phần,Tổ chức tín dụng,5.13666E+13,http://www.acb.com.vn/,(08) 3929 0999,(08) 3839 9885,"442 Nguyễn Thị Minh Khai, Phường 5, Quận 3, Tp. HCM",Từ Tiến Phát; Từ Tiến Phát,Công ty cổ phần FiinRatings (FiinRatings),AA+,9/3/2026
13,ACBC - Công ty TNHH Chứng khoán ACB,ACBS,Công ty trách nhiệm hữu hạn,Kinh doanh chứng khoán,1.1E+13,https://www.acbs.com.vn,2873007000,2873003751,"Tầng 3, Tòa nhà Léman Luxury, 117 Nguyễn Đình Chiểu, Phường Xuân Hòa, TP. HCM",Nguyễn Đức Thái Hân; Đỗ Minh Toàn,,,
